1,566,181,794,279,3,0,0
1,-73,152,272,297,3,0,0
1,493,187,517,236,8,0,0
1,325,-9,650,248,8,0,0
2,555,182,795,280,3,0,0
2,-81,151,257,296,3,0,0
2,501,187,526,236,8,0,0
2,332,-20,665,248,8,0,0
3,545,183,797,281,3,0,0
3,-89,151,242,296,3,0,0
3,510,187,535,236,8,0,0
3,339,-30,680,248,8,0,0
4,535,184,799,282,3,0,0
4,-97,151,228,296,3,0,0
4,519,187,544,237,8,0,0
4,346,-40,695,248,8,0,0
5,522,183,793,282,3,0,0
5,-105,151,213,296,3,0,0
5,528,187,553,237,8,0,0
5,353,-50,710,248,8,0,0
6,509,182,788,282,3,0,0
6,-113,151,198,296,3,0,0
6,537,187,562,237,8,0,0
6,360,-60,725,248,8,0,0
7,594,197,800,315,3,0,0
7,496,182,783,282,3,0,0
7,-120,150,184,295,3,0,0
7,367,-70,740,248,8,0,0
8,582,195,800,317,3,0,0
8,484,181,777,282,3,0,0
8,-128,150,169,295,3,0,0
8,374,-80,755,248,8,0,0
9,571,194,800,319,3,0,0
9,471,181,772,282,3,0,0
9,-136,150,154,295,3,0,0
9,381,-90,770,248,8,0,0
10,559,193,800,321,3,0,0
10,458,180,767,283,3,0,0
10,-144,150,140,295,3,0,0
10,388,-100,785,248,8,0,0
11,548,192,801,324,3,0,0
11,445,179,761,283,3,0,0
11,-152,150,125,295,3,0,0
11,395,-110,800,248,8,0,0
12,529,189,801,325,3,0,0
12,433,179,756,283,3,0,0
12,401,-110,800,248,8,0,0
13,511,187,801,327,3,0,0
13,420,178,751,283,3,0,0
13,408,-109,800,249,8,0,0
14,493,185,801,329,3,0,0
14,407,178,745,283,3,0,0
14,414,-108,800,250,8,0,0
15,475,183,801,331,3,0,0
15,394,177,740,283,3,0,0
15,421,-107,800,251,8,0,0
16,457,181,801,333,3,0,0
16,382,177,735,284,3,0,0
16,427,-106,800,252,8,0,0
17,439,179,801,335,3,0,0
17,360,176,709,283,3,0,0
17,434,-105,800,253,8,0,0
18,412,178,783,337,3,0,0
18,338,175,684,282,3,0,0
18,440,-104,800,254,8,0,0
19,385,178,766,340,3,0,0
19,316,175,659,281,3,0,0
19,447,-103,800,255,8,0,0
20,358,178,749,343,3,0,0
